누적 확진률,누적 검사수,누적 검사 완료 수,치료 중 환자 수,격리 해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수,기준일,당일 확진자 수
1.495009747,10520929,10406086,6882,146675,2015,155572,114843,10250514,20210628,501
1.492171802,10508678,10392302,6718,146340,2013,155071,116376,10237231,20210627,614
1.487889877,10495516,10380943,6456,145989,2012,154457,114573,10226486,20210626,668
1.48669463,10466545,10344357,6391,145389,2009,153789,122188,10190568,20210625,634
1.484374932,10438782,10317811,6359,144788,2008,153155,120971,10164656,20210624,610
1.483877972,10409949,10280158,6159,144379,2007,152545,129791,10127613,20210623,645
1.481529887,10380042,10252915,6077,143817,2006,151900,127127,10101015,20210622,394
1.482792362,10346047,10217614,6234,143268,2004,151506,128433,10066108,20210621,357
1.48118902,10335634,10204572,6248,142899,2002,151149,131062,10053423,20210620,429
1.478453976,10323154,10194433,6338,142385,1997,150720,128721,10043713,20210619,482
1.477526381,10294048,10168211,6426,141816,1996,150238,125837,10017973,20210618,507
1.477144467,10257836,10136517,6708,141029,1994,149731,121319,9986786,20210617,540
1.475587056,10229384,10110620,6760,140438,1993,149191,118764,9961429,20210616,545
1.475716049,10196469,10072805,6921,139733,1992,148646,123664,9924159,20210615,373
1.476517846,10165497,10042073,7263,139022,1988,148273,123424,9893800,20210614,399
1.474553742,10152907,10028390,7308,138581,1985,147874,124517,9880516,20210613,452
1.471521964,10140535,10018335,7403,138037,1982,147422,122200,9870913,20210612,565
1.471909911,10111062,9977309,7652,137224,1981,146857,133753,9830452,20210611,554
1.470894135,10076862,9946535,7611,136713,1979,146303,130327,9800232,20210610,611
1.469653222,10044783,9913359,7541,136174,1977,145692,131424,9767667,20210609,602
1.470110969,10008583,9869323,7703,135412,1975,145090,139260,9724233,20210608,453
1.470520206,9972297,9835771,7802,134861,1974,144637,136526,9691134,20210607,485
1.467459997,9959697,9823232,7917,134262,1973,144152,136465,9679080,20210606,556
1.463952231,9945954,9808790,7862,133763,1971,143596,137164,9665194,20210605,744
1.461030859,9911324,9777480,7594,133289,1969,142852,133844,9634628,20210604,695
1.459142631,9872324,9742502,7490,132699,1968,142157,129822,9600345,20210603,681
1.457699002,9834350,9705433,7443,132068,1965,141476,128917,9563957,20210602,677
1.455920354,9798402,9670790,7373,131463,1963,140799,127612,9529991,20210601,459
1.456836017,9761158,9633205,7558,130823,1959,140340,127953,9492865,20210531,430
1.45419645,9747614,9621121,7572,130381,1957,139910,126493,9481211,20210530,479
1.450924946,9733591,9609801,7741,129739,1951,139431,123790,9470370,20210529,533
1.449937701,9702456,9579584,8193,128759,1946,138898,122872,9440686,20210528,587
1.449339906,9665693,9543034,8188,128180,1943,138311,122659,9404723,20210527,637
1.447922627,9629450,9508381,8160,127574,1940,137674,121069,9370707,20210526,699
1.445550475,9592727,9475629,8044,126993,1938,136975,117098,9338654,20210525,516
1.44662691,9553613,9432909,8098,126427,1934,136459,120704,9296450,20210524,530
1.443892882,9536299,9414064,8117,125881,1931,135929,122235,9278135,20210523,585
1.439307962,9520966,9403408,8386,125032,1926,135344,117558,9268064,20210522,666
1.436877385,9487108,9372964,8598,124158,1922,134678,114144,9238286,20210521,561
1.43617514,9447358,9338485,8542,123659,1916,134117,108873,9204368,20210520,646
1.431454878,9428644,9324150,8322,123237,1912,133471,104494,9190679,20210519,653
1.429443031,9395004,9291591,8283,122631,1904,132818,103413,9158773,20210518,528
1.4299309,9353300,9251496,8224,122163,1903,132290,101804,9119206,20210517,619
1.425789915,9336614,9234951,8007,121764,1900,131671,101663,9103280,20210516,610
1.42150471,9319094,9219878,7883,121282,1896,131061,99216,9088817,20210515,681
1.419320945,9281291,9186083,8092,120395,1893,130380,95208,9055703,20210514,747
1.416191336,9241153,9153636,7836,119906,1891,129633,87517,9024003,20210513,715
1.413999381,9201539,9117260,7661,119373,1884,128918,84279,8988342,20210512,636
1.412850883,9164284,9079656,7686,118717,1879,128282,84628,8951374,20210511,510
1.413616464,9122059,9038661,8053,117844,1875,127772,83398,8910889,20210510,463
1.410705601,9105771,9024491,8012,117423,1874,127309,81280,8897182,20210509,564
1.406573167,9089166,9010907,7999,116881,1865,126745,78259,8884162,20210508,701
1.404787852,9051354,8972458,8162,116022,1860,126044,78896,8846414,20210507,525
1.404968493,9010992,8933937,8177,115491,1851,125519,77055,8808418,20210506,574
1.401502668,8994069,8915074,8154,114944,1847,124945,78995,8790129,20210505,676
1.399573986,8957155,8879059,8301,114128,1840,124269,78096,8754790,20210504,541
1.401809863,8915326,8826304,8538,113356,1834,123728,89022,8702576,20210503,488
1.398606636,8898234,8811627,8542,112865,1833,123240,86607,8688387,20210502,606
1.39385709,8883388,8798176,8466,112337,1831,122634,85212,8675542,20210501,627
1.391855443,8848292,8765781,8757,111422,1828,122007,82511,8643774,20210430,661
1.390724211,8805774,8725382,8734,110787,1825,121346,80392,8604036,20210429,680
1.388669431,8766491,8689325,8597,110248,1821,120666,77166,8568659,20210428,768
1.386889523,8721609,8645101,8383,109695,1820,119898,76508,8525203,20210427,512
1.389034001,8672978,8594894,8719,108850,1817,119386,78084,8475508,20210426,499
1.386076695,8654791,8577231,8599,108475,1813,118887,77560,8458344,20210425,644
1.382206691,8632923,8554654,8650,107781,1812,118243,78269,8436411,20210424,785
1.37965284,8583530,8513591,8576,107071,1811,117458,69939,8396133,20210423,797
1.377284051,8537505,8470366,8394,106459,1808,116661,67139,8353705,20210422,735
1.375097668,8497594,8430383,8243,105877,1806,115926,67211,8314457,20210421,43597
1.475531703,5061279,4901894,12827,58253,1249,72329,159385,4829565,20210117,-42866
1.372676031,8458592,8392002,8166,105227,1802,115195,66590,8276807,20210420,549
1.373983738,8414821,8344058,8371,104474,1801,114646,70763,8229412,20210419,532
1.370923999,8396066,8323875,8311,104006,1797,114114,72191,8209761,20210418,671
1.365674304,8377778,8306739,8055,103594,1794,113443,71039,8193296,20210417,658
1.365031284,8333331,8262448,7933,103062,1790,112785,70883,8149663,20210416,673
1.363743629,8291121,8220900,7811,102513,1788,112112,70221,8108788,20210415,698
1.363570274,8245383,8170756,7649,101983,1782,111414,74627,8059342,20210414,731
1.363942757,8200514,8114930,7576,101332,1775,110683,85584,8004247,20210413,542
1.366932546,8152778,8057530,7567,100804,1770,110141,95248,7947389,20210412,587
1.363015759,8129527,8037618,7677,100109,1768,109554,91909,7928064,20210411,614
1.358928355,8106625,8016611,7874,99301,1765,108940,90014,7907671,20210410,677
1.357156244,8059107,7977195,7713,98786,1764,108263,81912,7868932,20210409,671
1.35601577,8012415,7934421,7474,98360,1758,107592,77994,7826829,20210408,700
1.354517426,7966161,7891519,7208,97928,1756,106892,74642,7784627,20210407,668
1.354530128,7921284,7842129,7109,97363,1752,106224,79155,7735905,20210406,477
1.357764282,7868815,7788318,7099,96900,1748,105747,80497,7682571,20210405,474
1.354922235,7849470,7769671,6940,96589,1744,105273,79799,7664398,20210404,542
1.350616973,7829596,7754308,6795,96196,1740,104731,75288,7649577,20210403,543
1.350016028,7788290,7717538,6590,95861,1737,104188,70752,7613350,20210402,557
1.349601674,7747295,7678636,6457,95439,1735,103631,68659,7575005,20210401,551
1.349834806,7707792,7636490,6319,95030,1731,103080,71302,7533410,20210331,506
1.352225878,7663991,7585567,6282,94563,1729,102574,78424,7482993,20210330,447
1.354940491,7616317,7537379,6277,94124,1726,102127,78938,7435252,20210329,382
1.353535775,7595584,7516979,6168,93855,1722,101745,78605,7415234,20210328,482
1.350644798,7572556,7497382,6067,93475,1721,101263,75174,7396119,20210327,505
1.352096664,7529391,7451982,6412,92630,1716,100758,77409,7351224,20210326,489
1.355193611,7485852,7398869,6492,92068,1709,100269,86983,7298600,20210325,430
1.358931149,7441203,7346877,6572,91560,1707,99839,94326,7247038,20210324,428
1.361643807,7400980,7300808,6628,91079,1704,99411,100172,7201397,20210323,346
1.365882135,7355954,7252822,6757,90611,1697,99065,103132,7153757,20210322,415
1.363625494,7332699,7234391,6626,90328,1696,98650,98308,7135741,20210321,456
1.360797249,7308935,7215917,6552,89949,1693,98194,93018,7117723,20210320,447
1.362025697,7264931,7176590,6534,89523,1690,97747,88341,7078843,20210319,463
1.364746846,7218077,7128355,6418,89178,1688,97284,89722,7031071,20210318,445
1.366231389,7171500,7088038,6339,88814,1686,96839,83462,6991199,20210317,469
1.36733379,7126067,7048023,6437,88255,1678,96370,78044,6951653,20210316,363
1.368919801,7084930,7013340,6578,87754,1675,96007,71590,6917333,20210315,379
1.366787722,7066394,6996551,6551,87408,1669,95628,69843,6900923,20210314,459
